Matricula;NumEmt;Marca;Modelo;Version;Combustible;ClasEcol;Plataforma;Plazas;Falta;Fbaja
7808KLR;4866;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;28/06/2018;31/12/9999
9094KLP;4868;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;28/06/2018;31/12/9999
9223KLP;4865;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;28/06/2018;31/12/9999
8919KLP;4862;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;27/06/2018;31/12/9999
8948KLP;4863;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;27/06/2018;31/12/9999
8977KLP;4861;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;27/06/2018;31/12/9999
9236KLP;4864;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;27/06/2018;31/12/9999
9000KLP;4860;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;26/06/2018;31/12/9999
9015KLP;4859;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;26/06/2018;31/12/9999
9041KLP;4858;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;26/06/2018;31/12/9999
9346KKT;4855;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;26/06/2018;31/12/9999
9063KLP;4857;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;23/06/2018;31/12/9999
9075KLP;4856;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;23/06/2018;31/12/9999
9081KLR;2133;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;22/06/2018;31/12/9999
9467KLR;2134;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;22/06/2018;31/12/9999
2201KLT;2137;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;21/06/2018;31/12/9999
2365KLT;2138;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;21/06/2018;31/12/9999
2417KLT;2139;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;21/06/2018;31/12/9999
2447KLT;2140;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;21/06/2018;31/12/9999
8536KLR;2131;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;21/06/2018;31/12/9999
8618KLR;2132;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;21/06/2018;31/12/9999
8808KLR;2135;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;21/06/2018;31/12/9999
9449KLR;2136;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;21/06/2018;31/12/9999
4243KLB;2129;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;16/06/2018;31/12/9999
4253KLB;2130;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;16/06/2018;31/12/9999
4323KLB;2128;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;16/06/2018;31/12/9999
8502KKT;4849;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;16/06/2018;31/12/9999
9185KKT;4844;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;16/06/2018;31/12/9999
9283KKT;4854;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;16/06/2018;31/12/9999
