Codigo;Marca;Modelo;ClasAmbiental;Combustible;FechaInicio;Fecha
1020144;SKODA;OCTAVIA;;DIESEL;16/12/2005;25/11/2018
550016;SEAT;TOLEDO;;DIESEL;18/11/2008;25/11/2018
550142;SKODA;OCTAVIA;;DIESEL;01/03/2010;25/11/2018
550115;SKODA;OCTAVIA;;DIESEL;14/01/2010;25/11/2018
550214;SKODA;OCTAVIA;;DIESEL;03/08/2012;25/11/2018
550241;VOLKSWAGEN;PASSAT;;DIESEL;10/01/2013;25/11/2018
550244;PEUGEOT;508;;DIESEL;23/08/2013;25/11/2018
1198109;CHEVROLET;EPICA;B;DIESEL;25/10/2010;25/11/2018
1196804;CHEVROLET;EPICA;C;GASOLINA TRANSFORMADO GLP;04/10/2010;25/11/2018
1182347;CHEVROLET;EPICA;B;DIESEL;04/02/2010;25/11/2018
1194793;CHEVROLET;EPICA;B;DIESEL;19/08/2010;25/11/2018
1181262;CHEVROLET;EPICA;B;DIESEL;20/01/2010;25/11/2018
1385946;CITROEN;C4 PICASSO;C;DIESEL;13/07/2015;25/11/2018
1469525;CITROEN;CITROEN C-ELYSEE;C;DIESEL;05/04/2017;25/11/2018
1428279;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;26/05/2016;25/11/2018
1506104;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;12/02/2018;25/11/2018
1375194;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;06/03/2015;25/11/2018
1347840;CITROEN;C4 PICASSO;C;DIESEL;06/10/2014;25/11/2018
1420832;CITROEN;CITROEN JUMPY;B;DIESEL;09/03/2016;25/11/2018
1443744;CITROEN;CITROEN C-ELYSEE;C;DIESEL;13/12/2016;25/11/2018
1372757;CITROEN;C4 PICASSO;C;DIESEL;04/02/2015;25/11/2018
1428253;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;26/05/2016;25/11/2018
1434101;CITROEN;CITROEN C-ELYSEE;C;DIESEL;01/08/2016;25/11/2018
1354847;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;13/01/2015;25/11/2018
1426526;CITROEN;CITROEN GC4 PICASSO;C;DIESEL;10/05/2016;25/11/2018
