Provincia;p2017;p2016;p2015;p2014;p2013;p2012;p2011;p2010;
Total;4.6572132E7;4.6557008E7;4.6624382E7;4.6771341E7;4.7129783E7;4.7265321E7;4.7190493E7;4.7021031E7;
Albacete;390032.0;392118.0;394580.0;396987.0;400007.0;402837.0;402318.0;401682.0;
Alicante/Alacant;1825332.0;1836459.0;1855047.0;1868438.0;1945642.0;1943910.0;1934127.0;1926285.0;
Almería;706672.0;704297.0;701211.0;701688.0;699329.0;704219.0;702819.0;695560.0;
Araba/Álava;326574.0;324126.0;323648.0;321932.0;321417.0;322557.0;319227.0;317352.0;
Asturias;1034960.0;1042608.0;1051229.0;1061756.0;1068165.0;1077360.0;1081487.0;1084341.0;
Ávila;160700.0;162514.0;164925.0;167015.0;168825.0;171265.0;172704.0;171896.0;
Badajoz;679884.0;684113.0;686730.0;690929.0;693729.0;694533.0;693921.0;692137.0;
Balears, Illes;1115999.0;1107220.0;1104479.0;1103442.0;1111674.0;1119439.0;1113114.0;1106049.0;
Barcelona;5576037.0;5542680.0;5523922.0;5523784.0;5540925.0;5552050.0;5529099.0;5511147.0;
Bizkaia;1148302.0;1147576.0;1148775.0;1151905.0;1156447.0;1158439.0;1155772.0;1153724.0;
Burgos;358171.0;360995.0;364002.0;366900.0;371248.0;374970.0;375657.0;374826.0;
Cáceres;400036.0;403665.0;406267.0;408703.0;410275.0;413597.0;415446.0;415083.0;
Cádiz;1239435.0;1239889.0;1240284.0;1240175.0;1238492.0;1245164.0;1243519.0;1236739.0;
Cantabria;580295.0;582206.0;585179.0;588656.0;591888.0;593861.0;593121.0;592250.0;
Castellón/Castelló;575470.0;579245.0;582327.0;587508.0;601699.0;604564.0;604344.0;604274.0;
Ciudad Real;502578.0;506888.0;513713.0;519613.0;524962.0;530250.0;530175.0;529453.0;
Córdoba;788219.0;791610.0;795611.0;799402.0;802422.0;804498.0;805857.0;805108.0;
Coruña, A;1120294.0;1122799.0;1127196.0;1132735.0;1138161.0;1143911.0;1147124.0;1146458.0;
Cuenca;198718.0;201071.0;203841.0;207449.0;211899.0;218036.0;219138.0;217716.0;
Gipuzkoa;719282.0;717832.0;716834.0;715148.0;713818.0;712097.0;709607.0;707263.0;
Girona;755716.0;753576.0;753054.0;756156.0;761632.0;761627.0;756810.0;753046.0;
Granada;912938.0;915392.0;917297.0;919455.0;919319.0;922928.0;924550.0;918072.0;
Guadalajara;253310.0;252882.0;253686.0;255426.0;257723.0;259537.0;256461.0;251563.0;
Huelva;518930.0;519596.0;520017.0;519229.0;520668.0;522862.0;521968.0;518081.0;
Huesca;219702.0;221079.0;222909.0;224909.0;226329.0;227609.0;228361.0;228566.0;
Jaén;643484.0;648250.0;654170.0;659033.0;664916.0;670242.0;670600.0;670761.0;
León;468316.0;473604.0;479395.0;484694.0;489752.0;494451.0;497799.0;499284.0;
Lleida;432384.0;434041.0;436029.0;438001.0;440915.0;443032.0;442308.0;439768.0;
Lugo;333634.0;336527.0;339386.0;342748.0;346005.0;348902.0;351530.0;353504.0;
Madrid;6507184.0;6466996.0;6436996.0;6454440.0;6495551.0;6498560.0;6489680.0;6458684.0;
Málaga;1630615.0;1629298.0;1628973.0;1621968.0;1652999.0;1641098.0;1625827.0;1609557.0;
Murcia;1470273.0;1464847.0;1467288.0;1466818.0;1472049.0;1474449.0;1470069.0;1461979.0;
Navarra;643234.0;640647.0;640476.0;640790.0;644477.0;644566.0;642051.0;636924.0;
Ourense;311680.0;314853.0;318391.0;322293.0;326724.0;330257.0;333257.0;335219.0;
Palencia;163390.0;164644.0;166035.0;167609.0;168955.0;170713.0;171668.0;172510.0;
Palmas, Las;1100480.0;1097800.0;1098406.0;1100027.0;1103850.0;1100813.0;1096980.0;1090605.0;
Pontevedra;942731.0;944346.0;947374.0;950919.0;955050.0;958428.0;963511.0;962472.0;
Rioja, La;315381.0;315794.0;317053.0;319002.0;322027.0;323609.0;322955.0;322415.0;
Salamanca;333603.0;335985.0;339395.0;342459.0;345548.0;350564.0;352986.0;353619.0;
Santa Cruz de Tenerife;1007641.0;1004124.0;1001900.0;1004788.0;1014829.0;1017531.0;1029789.0;1027914.0;
Segovia;154184.0;155652.0;157570.0;159303.0;161702.0;163701.0;164169.0;164268.0;
Sevilla;1939527.0;1939775.0;1941480.0;1941355.0;1942155.0;1938974.0;1928962.0;1917097.0;
Soria;88903.0;90040.0;91006.0;92221.0;93291.0;94522.0;95223.0;95258.0;
Tarragona;791693.0;792299.0;795101.0;800962.0;810178.0;814199.0;811401.0;808420.0;
Teruel;135562.0;136977.0;138932.0;140365.0;142183.0;143728.0;144607.0;145277.0;
Toledo;686841.0;688672.0;693371.0;699136.0;706407.0;711228.0;707242.0;697959.0;
Valencia/València;2540707.0;2544264.0;2543315.0;2548898.0;2566474.0;2580792.0;2578719.0;2581147.0;
Valladolid;521130.0;523679.0;526288.0;529157.0;532284.0;534280.0;534874.0;533640.0;
Zamora;177404.0;180406.0;183436.0;185432.0;188270.0;191612.0;193383.0;194214.0;
Zaragoza;953486.0;950507.0;956006.0;960111.0;978638.0;978130.0;973325.0;973252.0;
Ceuta;84959.0;84519.0;84263.0;84963.0;84180.0;84018.0;82376.0;80579.0;
Melilla;86120.0;86026.0;85584.0;84509.0;83679.0;80802.0;78476.0;76034.0;
