Provincia;h2017;h2016;h2015;h2014;h2013;h2012;h2011;h2010;
Total;308.0;294.0;302.0;323.0;302.0;364.0;385.0;401.0;
Araba/Álava;1.0;2.0;1.0;1.0;3.0;1.0;2.0;1.0;
Albacete;2.0;1.0;2.0;4.0;3.0;4.0;0.0;2.0;
Alicante/Alacant;10.0;16.0;30.0;14.0;9.0;16.0;19.0;17.0;
Almería;5.0;6.0;7.0;8.0;6.0;11.0;15.0;19.0;
Ávila;1.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;
Badajoz;5.0;6.0;0.0;4.0;5.0;12.0;7.0;2.0;
Balears (Illes);4.0;9.0;8.0;12.0;10.0;5.0;12.0;6.0;
Barcelona;49.0;45.0;36.0;39.0;28.0;48.0;44.0;56.0;
Burgos;0.0;3.0;1.0;0.0;2.0;3.0;4.0;4.0;
Cáceres;3.0;1.0;1.0;0.0;2.0;1.0;3.0;1.0;
Cádiz;6.0;10.0;10.0;14.0;8.0;8.0;12.0;13.0;
Castellón/Castelló;5.0;1.0;3.0;5.0;5.0;3.0;6.0;6.0;
Ciudad Real;6.0;1.0;5.0;2.0;7.0;3.0;4.0;3.0;
Córdoba;2.0;1.0;3.0;3.0;5.0;2.0;10.0;3.0;
Coruña (A);7.0;8.0;4.0;7.0;7.0;6.0;8.0;8.0;
Cuenca;0.0;0.0;3.0;3.0;2.0;2.0;3.0;2.0;
Girona;5.0;2.0;2.0;9.0;7.0;13.0;11.0;27.0;
Granada;10.0;7.0;6.0;10.0;6.0;12.0;5.0;6.0;
Guadalajara;0.0;6.0;2.0;0.0;1.0;1.0;0.0;1.0;
Gipuzkoa;1.0;1.0;3.0;1.0;3.0;4.0;4.0;4.0;
Huelva;0.0;8.0;3.0;5.0;2.0;6.0;5.0;2.0;
Huesca;3.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;
Jaén;3.0;1.0;4.0;3.0;6.0;5.0;11.0;3.0;
León;2.0;3.0;3.0;4.0;6.0;7.0;3.0;0.0;
Lleida;5.0;3.0;2.0;2.0;5.0;1.0;7.0;2.0;
Rioja (La);0.0;0.0;1.0;3.0;0.0;1.0;2.0;2.0;
Lugo;0.0;2.0;0.0;3.0;1.0;3.0;1.0;1.0;
Madrid;39.0;33.0;30.0;41.0;37.0;48.0;46.0;51.0;
Málaga;9.0;19.0;17.0;18.0;18.0;17.0;18.0;15.0;
Murcia;14.0;12.0;12.0;8.0;5.0;10.0;10.0;15.0;
Navarra;8.0;1.0;3.0;1.0;4.0;2.0;5.0;3.0;
Ourense;2.0;0.0;3.0;2.0;2.0;2.0;2.0;2.0;
Asturias;5.0;6.0;4.0;7.0;8.0;6.0;9.0;19.0;
Palencia;0.0;0.0;1.0;1.0;2.0;0.0;1.0;1.0;
Palmas (Las);10.0;12.0;15.0;6.0;5.0;10.0;10.0;4.0;
Pontevedra;4.0;2.0;12.0;8.0;5.0;5.0;3.0;6.0;
Salamanca;3.0;4.0;2.0;0.0;1.0;0.0;0.0;1.0;
Santa Cruz de Tenerife;10.0;9.0;5.0;6.0;8.0;5.0;7.0;13.0;
Cantabria;3.0;0.0;3.0;3.0;4.0;1.0;2.0;2.0;
Segovia;1.0;0.0;0.0;0.0;1.0;1.0;5.0;0.0;
Sevilla;14.0;16.0;15.0;8.0;14.0;7.0;9.0;17.0;
Soria;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;
Tarragona;6.0;4.0;2.0;7.0;3.0;12.0;14.0;12.0;
Teruel;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;
Toledo;4.0;3.0;1.0;7.0;2.0;7.0;1.0;4.0;
Valencia/València;26.0;13.0;15.0;13.0;18.0;32.0;21.0;23.0;
Valladolid;5.0;0.0;0.0;6.0;3.0;2.0;3.0;3.0;
Bizkaia;3.0;3.0;7.0;8.0;7.0;7.0;6.0;5.0;
Zamora;1.0;0.0;0.0;3.0;3.0;2.0;2.0;0.0;
Zaragoza;2.0;8.0;6.0;5.0;6.0;6.0;5.0;9.0;
Ceuta;1.0;4.0;1.0;6.0;2.0;0.0;4.0;1.0;
Melilla;0.0;1.0;1.0;3.0;1.0;4.0;0.0;0.0;
