fecha;aeropuerto;pasajeros;operaciones;mercancia
ene-16;Barajas;3.516.501;28.709;30.196.727
ene-16;El Prat;2.517.214;19.332;9.323.556
feb-16;Barajas;3.463.758;27.878;32.430.104
feb-16;El Prat;2.672.189;19.843;10.428.610
mar-16;Barajas;3.989.219;30.497;34.964.148
mar-16;El Prat;3.301.423;23.379;11.486.354
abr-16;Barajas;3.937.147;30.867;34.657.044
abr-16;El Prat;3.622.362;26.572;12.180.724
may-16;Barajas;4.291.949;33.054;33.313.272
may-16;El Prat;4.049.108;28.403;11.456.620
jun-16;Barajas;4.413.251;32.939;32.201.569
jun-16;El Prat;4.197.822;28.868;11.157.553
jul-16;Barajas;4.905.692;34.476;33.894.904
jul-16;El Prat;4.668.322;30.929;10.857.001
ago-16;Barajas;4.793.219;33.202;32.123.124
ago-16;El Prat;4.701.329;30.462;10.198.274
sep-16;Barajas;4.610.324;33.425;35.335.824
sep-16;El Prat;4.359.940;29.230;11.654.881
oct-16;Barajas;4.516.960;32.662;40.812.580
oct-16;El Prat;4.018.769;27.317;13.339.068
nov-16;Barajas;3.944.901;30.173;38.093.664
nov-16;El Prat;3.043.644;21.926;11.863.278
dic-16;Barajas;4.035.988;30.269;38.309.273
dic-16;El Prat;3.002.600;21.602;11.869.766
ene-17;Barajas;3.843.112;29.678;32.353.125
ene-17;El Prat;2.803.847;20.846;10.330.162
feb-17;Barajas;3.584.304;27.522;34.889.690
feb-17;El Prat;2.801.585;20.175;10.681.993
mar-17;Barajas;4.196.923;31.405;41.316.193
mar-17;El Prat;3.466.740;24.207;13.670.723
abr-17;Barajas;4.488.410;32.022;37.546.532
abr-17;El Prat;4.114.128;27.619;11.780.561
may-17;Barajas;4.524.334;33.796;38.642.089
may-17;El Prat;4.325.968;30.087;13.102.071
jun-17;Barajas;4.746.122;34.438;38.238.912
jun-17;El Prat;4.585.286;30.587;12.432.178
jul-17;Barajas;5.088.000;35.083;39.619.809
jul-17;El Prat;5.041.481;32.128;13.705.009
ago-17;Barajas;4.951.850;33.363;38.728.020
ago-17;El Prat;4.944.029;31.495;13.362.182
sep-17;Barajas;4.807.733;33.931;39.095.931
sep-17;El Prat;4.637.662;30.583;13.893.964
oct-17;Barajas;4.725.786;33.856;46.227.088
oct-17;El Prat;4.174.467;29.235;15.515.008
nov-17;Barajas;4.191.270;31.183;43.450.582
nov-17;El Prat;3.195.505;23.465;14.462.919
dic-17;Barajas;4.253.000;31.291;42.140.877
dic-17;El Prat;3.193.648;23.108;13.168.534
ene-18;Barajas;4.130.156;31.369;37.831.182
ene-18;El Prat;3.058.271;22.403;12.256.792
feb-18;Barajas;3.918.244;29.074;38.432.597
feb-18;El Prat;3.034.097;21.348;11.799.097
mar-18;Barajas;4.581.990;32.903;46.329.847
mar-18;El Prat;3.834.791;25.797;14.126.006
abr-18;Barajas;4.802.596;33.835;42.731.201
abr-18;El Prat;4.241.905;28.545;13.693.033
may-18;Barajas;4.959.964;35.628;42.873.331
may-18;El Prat;4.549.769;30.704;14.428.589
jun-18;Barajas;5.079.072;35.566;41.282.998
jun-18;El Prat;4.809.324;31.330;14.863.956
jul-18;Barajas;5.532.261;37.091;42.734.106
jul-18;El Prat;5.166.315;32.593;15.476.261
ago-18;Barajas;5.387.285;35.606;41.330.565
ago-18;El Prat;5.149.419;32.060;13.827.261
sep-18;Barajas;5.203.289;36.155;43.395.079
sep-18;El Prat;4.843.692;31.611;14.818.474
oct-18;Barajas;5.188.971;36.536;48.858.959
oct-18;El Prat;4.542.389;30.616;17.780.313
nov-18;Barajas;4.537.521;33.019;46.911.122
nov-18;El Prat;3.444.397;23.743;15.112.312
dic-18;Barajas;4.569.991;33.050;46.148.007
dic-18;El Prat;3.498.088;24.901;14.757.904
