cod_uni;cod_curso;nombre_curso;nota
01;0001;Arqueología ;6,828
01;0002;Bellas Artes ;9,157
01;0004;Conservación y Restauración del Patrimonio Cultural ;8,042
01;0005;Diseño ;10,672
01;0006;Español: Lengua y Literatura ;5,000
01;0007;Estudios Ingleses ;5,632
01;0017;Estudios Hispano-Alemanes ;5,000
01;0008;Estudios Semíticos e Islámicos ;5,000
01;0009;Filología Clásica ;5,000
01;0010;Filosofía ;6,400
01;0011;Historia ;5,000
01;0012;Historia del Arte ;5,000
01;0013;Lenguas Modernas y sus Literaturas ;5,000
01;0015;Lingüística y Lenguas Aplicadas ;5,000
01;0018;Literatura General y Comparada ;5,000
01;0016;Musicología ;6,213
01;0014;Traducción e Interpretación ;9,281
01;0030;Biología ;9,629
01;0031;Bioquímica ;12,325
01;0037;Ciencia y Tecnología de los Alimentos ;7,444
01;0032;Física ;11,896
01;0033;Geología ;5,000
01;0034;Matemáticas ;11,707
01;0035;Matemáticas y Estadística ;11,219
01;0036;Química ;8,542
01;0050;Enfermería ;10,700
01;0051;Farmacia ;10,795
01;0052;Fisioterapia ;11,350
01;0053;Logopedia ;8,178
01;0054;Medicina ;12,966
01;0055;Nutrición Humana y Dietética ;10,025
01;0056;Odontología ;12,114
01;0057;Óptica y Optometría ;5,000
01;0058;Podología ;8,180
01;0059;Psicología ;8,968
01;0060;Terapia Ocupacional ;8,552
01;0061;Veterinaria ;11,456
01;0088;Desarrollo de Videojuegos ;10,536
01;0080;Ingeniería de Computadores ;7,629
01;0087;Ingeniería Electrónica de Comunicaciones ;6,930
01;0086;Ingeniería de Materiales ;5,000
01;0081;Ingeniería del Software ;8,368
01;0082;Ingeniería Informática ;9,770
01;0083;Ingeniería Geológica ;5,000
01;0084;Ingeniería Matemática ;11,707
01;0085;Ingeniería Química ;9,284
01;0100;Administración y Dirección de Empresas ;8,972
01;0101;Antropología Social y Cultural ;5,000
01;0102;Ciencias Políticas ;6,997
01;0103;Comercio ;6,802
01;0104;Comunicación Audiovisual ;9,636
01;0126;Criminología ;10,844
01;0106;Derecho ;6,930
01;0105;Derecho-LMG (UCM-U. Bolonia) ;5,000
