distrito;FUEGOS;CONSTRUCCION;SALVAMENTOS;AGUA;DIVERSOS;SIN INTERVENCION;SERVICIOS;year;mes
CENTRO;22;31;38;21;32;14;6;2018;1
ARGANZUELA;15;2;21;7;15;18;9;2018;1
RETIRO;8;2;18;3;7;8;4;2018;1
SALAMANCA;16;7;25;8;13;8;3;2018;1
CHAMARTIN;18;6;19;10;22;5;5;2018;1
TETUAN;11;4;24;8;18;5;4;2018;1
CHAMBERI;16;8;25;9;13;10;4;2018;1
FUENCARRAL;19;4;25;10;19;12;7;2018;1
MONCLOA;18;5;14;7;15;13;1;2018;1
LATINA;22;4;30;13;19;10;4;2018;1
CARABANCHEL;45;5;32;6;19;14;5;2018;1
USERA;27;5;20;2;7;2;4;2018;1
PUENTE VALLECAS;41;6;29;11;18;19;7;2018;1
MORATALAZ;4;0;7;3;5;8;2;2018;1
CIUDAD LINEAL;33;13;27;12;17;11;6;2018;1
HORTALEZA;19;3;15;6;6;12;2;2018;1
VILLAVERDE;43;2;22;7;12;8;2;2018;1
VILLA DE VALLECAS;24;1;9;3;8;6;4;2018;1
VICALVARO;8;3;6;3;4;8;2;2018;1
SAN BLAS;19;3;23;7;11;5;5;2018;1
BARAJAS;5;0;3;3;6;4;1;2018;1
CENTRO;25;23;31;18;31;21;5;2018;2
ARGANZUELA;20;10;12;8;8;6;10;2018;2
RETIRO;6;7;13;3;15;2;1;2018;2
SALAMANCA;19;13;18;6;10;7;3;2018;2
CHAMARTIN;20;6;12;9;19;6;10;2018;2
TETUAN;20;12;22;9;14;10;7;2018;2
CHAMBERI;21;12;19;16;15;13;3;2018;2
FUENCARRAL;19;1;24;6;24;10;3;2018;2
MONCLOA;15;7;13;8;17;8;2;2018;2
LATINA;14;6;21;14;22;8;6;2018;2
CARABANCHEL;30;5;16;10;23;9;4;2018;2
USERA;11;2;14;9;8;6;3;2018;2
PUENTE VALLECAS;27;5;25;13;17;13;4;2018;2
MORATALAZ;9;5;13;3;1;3;1;2018;2
CIUDAD LINEAL;17;4;14;9;20;10;0;2018;2
HORTALEZA;13;2;13;6;14;12;2;2018;2
VILLAVERDE;31;2;15;3;10;7;2;2018;2
VILLA DE VALLECAS;17;2;5;6;12;6;0;2018;2
VICALVARO;11;1;7;7;5;2;0;2018;2
SAN BLAS;11;2;19;6;12;5;4;2018;2
BARAJAS;6;3;4;0;2;5;2;2018;2
CENTRO;46;63;32;26;57;21;6;2018;3
ARGANZUELA;13;15;24;11;48;14;14;2018;3
RETIRO;6;17;19;12;45;8;2;2018;3
SALAMANCA;15;24;13;17;47;14;5;2018;3
CHAMARTIN;16;19;16;12;76;22;6;2018;3
TETUAN;18;27;18;17;34;12;0;2018;3
CHAMBERI;21;40;15;14;41;11;1;2018;3
FUENCARRAL;15;14;25;21;91;24;2;2018;3
MONCLOA;17;21;20;17;125;21;1;2018;3
LATINA;29;25;25;13;115;26;11;2018;3
CARABANCHEL;35;29;25;17;85;16;7;2018;3
USERA;9;14;10;8;30;11;4;2018;3
PUENTE VALLECAS;25;22;22;10;70;18;8;2018;3
MORATALAZ;13;7;6;4;55;9;1;2018;3
CIUDAD LINEAL;30;23;18;14;105;19;2;2018;3
HORTALEZA;14;13;23;9;105;11;1;2018;3
VILLAVERDE;25;16;25;7;46;13;9;2018;3
VILLA DE VALLECAS;16;13;8;4;22;7;0;2018;3
VICALVARO;9;2;5;11;3;10;1;2018;3
SAN BLAS;7;17;13;4;86;12;6;2018;3
BARAJAS;1;5;10;6;16;7;0;2018;3
CENTRO;31;27;27;10;35;21;11;2018;4
ARGANZUELA;24;6;20;4;27;9;5;2018;4
RETIRO;12;11;8;7;18;5;2;2018;4
SALAMANCA;13;23;18;5;26;17;5;2018;4
CHAMARTIN;24;13;15;5;25;9;7;2018;4
TETUAN;16;9;15;7;16;12;6;2018;4
CHAMBERI;21;19;23;9;8;5;4;2018;4
FUENCARRAL;25;10;28;4;28;9;11;2018;4
MONCLOA;19;8;17;4;24;9;1;2018;4
LATINA;39;8;18;12;31;16;40;2018;4
CARABANCHEL;61;11;23;8;28;15;4;2018;4
USERA;17;3;18;5;16;6;5;2018;4
PUENTE VALLECAS;32;12;38;10;21;9;3;2018;4
MORATALAZ;8;3;9;4;8;4;0;2018;4
CIUDAD LINEAL;19;11;25;7;31;4;6;2018;4
HORTALEZA;23;5;18;5;32;7;5;2018;4
VILLAVERDE;40;1;19;2;18;11;4;2018;4
VILLA DE VALLECAS;24;0;12;2;9;3;1;2018;4
VICALVARO;8;1;6;3;3;4;0;2018;4
SAN BLAS;16;1;17;6;30;8;6;2018;4
BARAJAS;4;0;4;2;8;2;0;2018;4
CENTRO;26;38;43;20;45;19;6;2018;5
ARGANZUELA;10;12;19;8;25;10;11;2018;5
RETIRO;12;10;10;1;26;6;6;2018;5
SALAMANCA;19;14;22;16;44;9;2;2018;5
CHAMARTIN;17;18;28;12;39;9;8;2018;5
TETUAN;12;17;21;14;23;16;9;2018;5
CHAMBERI;13;17;16;10;24;11;2;2018;5
FUENCARRAL;26;3;26;7;26;10;9;2018;5
MONCLOA;12;8;18;8;27;10;4;2018;5
LATINA;21;9;21;12;50;7;9;2018;5
CARABANCHEL;35;11;27;8;46;13;7;2018;5
USERA;21;4;18;5;18;5;1;2018;5
PUENTE VALLECAS;29;12;16;17;31;16;13;2018;5
MORATALAZ;7;2;12;6;9;3;0;2018;5
CIUDAD LINEAL;27;12;29;16;66;11;4;2018;5
HORTALEZA;16;7;19;7;38;9;4;2018;5
VILLAVERDE;29;3;17;7;29;4;2;2018;5
VILLA DE VALLECAS;27;2;15;3;10;7;0;2018;5
VICALVARO;12;2;4;8;4;11;0;2018;5
SAN BLAS;14;6;23;11;27;9;3;2018;5
BARAJAS;2;0;8;0;9;1;0;2018;5
CENTRO;24;26;32;14;49;25;6;2018;6
ARGANZUELA;27;4;22;7;32;12;3;2018;6
RETIRO;15;5;14;5;33;8;4;2018;6
SALAMANCA;19;17;30;9;40;6;4;2018;6
CHAMARTIN;15;7;20;3;46;10;5;2018;6
TETUAN;16;12;26;9;22;10;9;2018;6
CHAMBERI;8;14;29;9;40;13;5;2018;6
FUENCARRAL;40;6;43;13;37;16;17;2018;6
MONCLOA;11;7;18;10;33;12;9;2018;6
LATINA;23;4;45;11;63;6;5;2018;6
CARABANCHEL;38;6;38;5;51;15;4;2018;6
USERA;18;3;18;7;24;8;3;2018;6
PUENTE VALLECAS;33;7;35;5;51;15;43;2018;6
MORATALAZ;4;1;13;3;15;9;2;2018;6
