year;Cinturon;via;bici;moto;resto
2008;Interior Primer Cintur¢n;Calle Gran V¡a;11;382;3.300
2008;Interior Primer Cintur¢n;Calle San Bernardo;10;107;818
2008;Interior Primer Cintur¢n;Calle Princesa;3;221;2.943
2008;Primer Cintur¢n;Calle G‚nova;11;531;4.140
2008;Primer Cintur¢n;Paseo de El Prado;28;748;7.830
2008;Primer Cintur¢n;Calle Ronda de Valencia;8;240;2671
2008;Entre el Primer y el Segundo Cintur¢n;Avenida Men‚ndez Pelayo;1;211;3.391
2008;Entre el Primer y el Segundo Cintur¢n;Calle Bravo Murillo;10;129;1.177
2008;Entre el Primer y el Segundo Cintur¢n;Calle Jos‚ Abascal;3;359;2.693
2008;Segundo Cintur¢n;Calle Raimundo Fern ndez Villaverde;6;627;5.961
2008;Segundo Cintur¢n;Calle Doctor Esquerdo;8;273;4.236
2008;Segundo Cintur¢n;Calle Embajadores;6;123;1.855
2008;Entre el Segundo y el Tercer Cintur¢n;Paseo de Santa Mar¡a de la Cabeza;4;317;3.071
2008;Entre el Segundo y el Tercer Cintur¢n;Paseo de la Castellana;6;892;5.054
2008;Entre el Segundo y el Tercer Cintur¢n;Calle Bravo Murillo;9;163;1.957
2009;Interior Primer Cintur¢n;Calle Gran V¡a;3;406;3.066
2009;Interior Primer Cintur¢n;Calle San Bernardo;10;143;794
2009;Interior Primer Cintur¢n;Calle Princesa;13;283;2.950
2009;Primer Cintur¢n;Calle G‚nova;20;535;3.571
2009;Primer Cintur¢n;Paseo de El Prado;17;779;5.900
2009;Primer Cintur¢n;Calle Ronda de Valencia;25;342;3.067
2009;Entre el Primer y el Segundo Cintur¢n;Avenida Men‚ndez Pelayo;7;228;2.322
2009;Entre el Primer y el Segundo Cintur¢n;Calle Bravo Murillo;10;154;1.077
2009;Entre el Primer y el Segundo Cintur¢n;Calle Jos‚ Abascal;4;319;2.115
2009;Segundo Cintur¢n;Calle Raimundo Fern ndez Villaverde;3;589;5.668
2009;Segundo Cintur¢n;Calle Doctor Esquerdo;5;275;3.871
2009;Segundo Cintur¢n;Calle Embajadores;12;116;1.707
2009;Entre el Segundo y el Tercer Cintur¢n;Paseo de Santa Mar¡a de la Cabeza;10;223;1.556
2009;Entre el Segundo y el Tercer Cintur¢n;Paseo de la Castellana;5;952;5.328
2009;Entre el Segundo y el Tercer Cintur¢n;Calle Bravo Murillo;23;213;1.749
2010;Interior Primer Cintur¢n;Calle Gran V¡a;5;418;2.793
2010;Interior Primer Cintur¢n;Calle San Bernardo;14;117;745
2010;Interior Primer Cintur¢n;Calle Princesa;10;205;2.338
2010;Primer Cintur¢n;Calle G‚nova;13;429;2.914
2010;Primer Cintur¢n;Paseo de El Prado;35;799;5696
2010;Primer Cintur¢n;Calle Ronda de Valencia;29;308;2989
2010;Entre el Primer y el Segundo Cintur¢n;Avenida Men‚ndez Pelayo;8;251;2.123
2010;Entre el Primer y el Segundo Cintur¢n;Calle Bravo Murillo;17;145;1.052
2010;Entre el Primer y el Segundo Cintur¢n;Calle Jos‚ Abascal;8;357;2.126
2010;Segundo Cintur¢n;Calle Raimundo Fern ndez Villaverde;11;691;5.111
2010;Segundo Cintur¢n;Calle Doctor Esquerdo;6;287;3.921
2010;Segundo Cintur¢n;Calle Embajadores;10;166;1978
2010;Entre el Segundo y el Tercer Cintur¢n;Paseo de Santa Mar¡a de la Cabeza;14;333;3281
2010;Entre el Segundo y el Tercer Cintur¢n;Paseo de la Castellana;4;1073;5673
2010;Entre el Segundo y el Tercer Cintur¢n;Calle Bravo Murillo;17;181;2232
2011;Interior Primer Cintur¢n;Calle Gran V¡a;20;472;3.263
2011;Interior Primer Cintur¢n;Calle San Bernardo;17;125;659
2011;Interior Primer Cintur¢n;Calle Princesa;8;293;2.824
2011;Primer Cintur¢n;Calle G‚nova;12;513;3.527
2011;Primer Cintur¢n;Paseo de El Prado;33;773;5469
2011;Primer Cintur¢n;Calle Ronda de Valencia;30;318;2650
2011;Entre el Primer y el Segundo Cintur¢n;Avenida Men‚ndez Pelayo;15;249;2.226
2011;Entre el Primer y el Segundo Cintur¢n;Calle Bravo Murillo;28;156;1.731
2011;Entre el Primer y el Segundo Cintur¢n;Calle Jos‚ Abascal;9;400;2.207
2011;Segundo Cintur¢n;Calle Raimundo Fern ndez Villaverde;13;646;5.248
2011;Segundo Cintur¢n;Calle Doctor Esquerdo;12;288;3.932
2011;Segundo Cintur¢n;Calle Embajadores;8;149;1.826
2011;Entre el Segundo y el Tercer Cintur¢n;Paseo de Santa Mar¡a de la Cabeza;10;339;3.329
2011;Entre el Segundo y el Tercer Cintur¢n;Paseo de la Castellana;8;1037;5.073
2011;Entre el Segundo y el Tercer Cintur¢n;Calle Bravo Murillo;23;189;2.322
2012;Interior Primer Cintur¢n;Calle Gran V¡a;16;461;3.112
2012;Interior Primer Cintur¢n;Calle San Bernardo;11;132;681
2012;Interior Primer Cintur¢n;Calle Princesa;16;348;2.762
2012;Primer Cintur¢n;Calle G‚nova;29;518;3.399
2012;Primer Cintur¢n;Paseo de El Prado;62;821;4.839
2012;Primer Cintur¢n;Calle Ronda de Valencia;42;279;2.832
