"station","name","date","tavg","tmax","tmin"
"SPE00120296","MADRID GETAFE, SP","1951-01","41.4","49.2","33.6"
"SPE00120296","MADRID GETAFE, SP","1951-02","41.7","48.0","35.4"
"SPE00120296","MADRID GETAFE, SP","1951-03","48.2","57.1","39.3"
"SPE00120296","MADRID GETAFE, SP","1951-04","53.1","63.8","42.3"
"SPE00120296","MADRID GETAFE, SP","1951-05","54.4","64.5","44.3"
"SPE00120296","MADRID GETAFE, SP","1951-06","69.5","82.3","56.6"
"SPE00120296","MADRID GETAFE, SP","1951-07","76.2","89.6","62.9"
"SPE00120296","MADRID GETAFE, SP","1951-08","72.4","85.2","59.5"
"SPE00120296","MADRID GETAFE, SP","1951-09","68.1","79.8","56.3"
"SPE00120296","MADRID GETAFE, SP","1951-10","54.4","63.7","45.0"
"SPE00120296","MADRID GETAFE, SP","1951-11","48.0","54.6","41.3"
"SPE00120296","MADRID GETAFE, SP","1951-12","44.1","51.3","36.9"
"SPE00120296","MADRID GETAFE, SP","1952-01","37.0","44.9","29.2"
"SPE00120296","MADRID GETAFE, SP","1952-02","42.6","52.9","32.4"
"SPE00120296","MADRID GETAFE, SP","1952-03","52.8","64.5","41.1"
"SPE00120296","MADRID GETAFE, SP","1952-04","53.9","64.0","43.8"
"SPE00120296","MADRID GETAFE, SP","1952-05","60.4","71.1","49.7"
"SPE00120296","MADRID GETAFE, SP","1952-06","71.0","83.4","58.7"
"SPE00120296","MADRID GETAFE, SP","1952-07","75.5","87.8","63.2"
"SPE00120296","MADRID GETAFE, SP","1952-08","72.6","84.8","60.5"
"SPE00120296","MADRID GETAFE, SP","1952-09","63.7","74.1","53.2"
"SPE00120296","MADRID GETAFE, SP","1952-10","59.4","68.9","49.9"
"SPE00120296","MADRID GETAFE, SP","1952-11","48.9","58.3","39.5"
"SPE00120296","MADRID GETAFE, SP","1952-12","41.8","49.3","34.3"
"SPE00120296","MADRID GETAFE, SP","1953-01","38.4","47.6","29.1"
"SPE00120296","MADRID GETAFE, SP","1953-02","40.8","51.2","30.5"
"SPE00120296","MADRID GETAFE, SP","1953-03","47.6","60.1","35.1"
"SPE00120296","MADRID GETAFE, SP","1953-04","52.9","63.0","42.8"
"SPE00120296","MADRID GETAFE, SP","1953-05","65.3","78.3","52.2"
