ranking;barrio;distrito;esper_vida;renta_media
1;San Diego;Puente de Vallecas;82,1;19.765
2;Entrev°as;Puente de Vallecas;80;20.937
3;Numancia;Puente de Vallecas;82,8;23.662
4;San Crist¢bal;Villaverde;81,3;17.786
5;Portazgo;Puente de Vallecas;81,3;22.797
6;Palomeras Sureste;Puente de Vallecas;82,3;25.307
7;Palomeras Bajas;Puente de Vallecas;82,8;27.963
8;Pradolongo;Usera;82,7;21.750
9;San Isidro;Carabanchel;82,7;24.847
10;San AndrÇs;Villaverde;82;23.505
11;Puerta Bonita;Carabanchel;82,1;24.384
12;Almendrales;Usera;83,4;24.167
13;Zofio;Usera;84,3;24.303
14;Vista Alegre;Carabanchel;83,2;27.013
15;Abrantes;Carabanchel;82,6;26.841
16;Orcasur;Usera;80,6;23.155
17;Moscard¢;Usera;82,2;24.962
18;Amposta;San Blas;78,4;20.885
19;San Ferm°n;Usera;82,1;24.196
20;Opa§el;Carabanchel;82,7;27.181
21;Comillas;Carabanchel;83,3;26.236
22;Los µngeles;Villaverde;83,2;27.746
23;Los Rosales;Villaverde;83,3;27.223
24;Hell°n;San Blas;81,5;22.633
25;Orcasitas;Usera;81,3;25.886
26;Puerta del Angel;Latina;83,2;26.497
27;C†rmenes;Latina;82,4;27.725
28;Lucero;Latina;84;29.136
29;Ambroz;Vic†lvaro;83,3;22.752
30;Buenavista;Carabanchel;82,8;29.879
31;Butarque;Villaverde;82;28.093
32;Almenara;Tetu†n;82,6;27.382
33;Aluche;Latina;84;30.206
34;Las µguilas;Latina;83,2;29.036
35;Casco Hist¢rico de Vallecas;Villa de Vallecas;82,8;26.951
36;Arcos;San Blas;81,5;26.735
37;Canillejas;San Blas;83,1;30.764
38;Simancas;San Blas;83,1;29.645
39;Berruguete;Tetu†n;82,8;26.857
40;Campamento;Latina;82,5;30.638
41;Valdeacederas;Tetu†n;83;26.531
42;Embajadores;Centro;82;23.833
43;Bellas Vistas;Tetu†n;83,1;29.189
44;Fontarr¢n;Moratalaz;81,8;27.349
45;Quintana;Ciudad Lineal;83,6;29.504
46;Pueblo Nuevo;Ciudad Lineal;82,8;29.206
47;Ventas;Ciudad Lineal;83,9;27.436
48;Santa Eugenia;Villa de Vallecas;82,3;35.176
49;Cuatro Vientos;Latina;80,6;35.486
50;Vinateros;Moratalaz;84,3;28.287
51;Media Legua;Moratalaz;83,5;34.988
52;Casco Hist¢rico de Vic†lvaro;Vic†lvaro;82,9;33.101
53;Sol;Centro;79,1;27.707
54;Pavones;Moratalaz;81;33.197
55;Universidad;Centro;82,8;28.883
56;Cortes;Centro;80,9;32.403
57;Palacio;Centro;79,5;32.445
58;Concepci¢n;Ciudad Lineal;83,7;33.377
59;Pinar del Rey;Hortaleza;83,6;33.645
60;Rejas;San Blas;85,2;36.011
61;Aeropuerto;Barajas;81,8;22.835
62;Cuatro Caminos;Tetu†n;83,5;40.897
63;Castillejos;Tetu†n;84,4;44.890
64;Chopera;Arganzuela;83,4;30.205
