Fecha;Cod_billete;Des_billete;Num_users
3/25/18;1;Adulto ida;213
3/25/18;2;Adulto Ida y vuelta;896
3/25/18;3;Infantil ida;9
3/25/18;4;Infantil ida y vuelta;41
3/25/18;5;Junior ida;31
3/25/18;6;Junior ida y vuelta;159
3/25/18;7;Senior ida;11
3/25/18;8;Senior ida y vuelta;41
3/25/18;9;PMR ida;1
3/25/18;10;PMR ida y vuelta;11
3/25/18;21;Acomp PMR  ida;1
3/25/18;22;Acomp PMR  ida y vuelta;10
3/26/18;1;Adulto ida;226
3/26/18;2;Adulto Ida y vuelta;950
3/26/18;3;Infantil ida;5
3/26/18;4;Infantil ida y vuelta;63
3/26/18;5;Junior ida;36
3/26/18;6;Junior ida y vuelta;257
3/26/18;7;Senior ida;11
3/26/18;8;Senior ida y vuelta;75
3/26/18;10;PMR ida y vuelta;10
3/26/18;22;Acomp PMR  ida y vuelta;10
3/27/18;1;Adulto ida;244
3/27/18;2;Adulto Ida y vuelta;1022
3/27/18;3;Infantil ida;6
3/27/18;4;Infantil ida y vuelta;79
3/27/18;5;Junior ida;50
3/27/18;6;Junior ida y vuelta;363
3/27/18;7;Senior ida;10
3/27/18;8;Senior ida y vuelta;93
3/27/18;9;PMR ida;6
3/27/18;10;PMR ida y vuelta;27
3/27/18;21;Acomp PMR  ida;6
3/27/18;22;Acomp PMR  ida y vuelta;24
3/28/18;1;Adulto ida;311
3/28/18;2;Adulto Ida y vuelta;1202
3/28/18;3;Infantil ida;9
3/28/18;4;Infantil ida y vuelta;94
3/28/18;5;Junior ida;49
3/28/18;6;Junior ida y vuelta;317
3/28/18;7;Senior ida;14
3/28/18;8;Senior ida y vuelta;101
3/28/18;9;PMR ida;1
3/28/18;10;PMR ida y vuelta;25
3/28/18;21;Acomp PMR  ida;1
3/28/18;22;Acomp PMR  ida y vuelta;25
3/29/18;1;Adulto ida;299
3/29/18;2;Adulto Ida y vuelta;1360
3/29/18;3;Infantil ida;27
3/29/18;4;Infantil ida y vuelta;144
3/29/18;5;Junior ida;61
3/29/18;6;Junior ida y vuelta;426
3/29/18;7;Senior ida;15
3/29/18;8;Senior ida y vuelta;50
3/29/18;9;PMR ida;2
3/29/18;10;PMR ida y vuelta;29
3/29/18;21;Acomp PMR  ida;2
3/29/18;22;Acomp PMR  ida y vuelta;29
3/30/18;1;Adulto ida;671
3/30/18;2;Adulto Ida y vuelta;1
3/30/18;3;Infantil ida;55
3/30/18;4;Infantil ida y vuelta;2
3/30/18;5;Junior ida;171
3/30/18;6;Junior ida y vuelta;3
3/30/18;7;Senior ida;19
3/30/18;9;PMR ida;15
3/30/18;16;Adulto viento;323
3/30/18;17;Infantil viento;36
3/30/18;18;Junior viento;102
3/30/18;19;Senior viento;13
3/30/18;20;PMR viento;9
3/30/18;21;Acomp PMR  ida;14
3/30/18;22;Acomp PMR  ida y vuelta;1
3/30/18;23;Acomp PMR  viento;9
3/31/18;1;Adulto ida;494
3/31/18;2;Adulto Ida y vuelta;1187
3/31/18;3;Infantil ida;26
3/31/18;4;Infantil ida y vuelta;75
3/31/18;5;Junior ida;78
3/31/18;6;Junior ida y vuelta;332
3/31/18;7;Senior ida;7
3/31/18;8;Senior ida y vuelta;43
3/31/18;9;PMR ida;4
3/31/18;10;PMR ida y vuelta;16
3/31/18;16;Adulto viento;104
3/31/18;17;Infantil viento;9
3/31/18;18;Junior viento;31
3/31/18;19;Senior viento;3
3/31/18;20;PMR viento;1
3/31/18;21;Acomp PMR  ida;6
3/31/18;22;Acomp PMR  ida y vuelta;14
3/31/18;23;Acomp PMR  viento;1
4/1/18;1;Adulto ida;516
4/1/18;2;Adulto Ida y vuelta;1505
4/1/18;3;Infantil ida;19
4/1/18;4;Infantil ida y vuelta;132
4/1/18;5;Junior ida;76
4/1/18;6;Junior ida y vuelta;389
4/1/18;7;Senior ida;13
4/1/18;8;Senior ida y vuelta;63
4/1/18;9;PMR ida;3
4/1/18;10;PMR ida y vuelta;18
4/1/18;21;Acomp PMR  ida;3
4/1/18;22;Acomp PMR  ida y vuelta;18
4/2/18;1;Adulto ida;294
4/2/18;2;Adulto Ida y vuelta;1066
4/2/18;3;Infantil ida;10
4/2/18;4;Infantil ida y vuelta;62
4/2/18;5;Junior ida;62
4/2/18;6;Junior ida y vuelta;285
4/2/18;7;Senior ida;11
4/2/18;8;Senior ida y vuelta;61
4/2/18;9;PMR ida;2
4/2/18;10;PMR ida y vuelta;15
4/2/18;16;Adulto viento;1
4/2/18;19;Senior viento;2
4/2/18;21;Acomp PMR  ida;2
4/2/18;22;Acomp PMR  ida y vuelta;15
4/7/18;1;Adulto ida;115
4/7/18;2;Adulto Ida y vuelta;622
4/7/18;3;Infantil ida;3
4/7/18;4;Infantil ida y vuelta;26
4/7/18;5;Junior ida;21
4/7/18;6;Junior ida y vuelta;143
4/7/18;7;Senior ida;3
4/7/18;8;Senior ida y vuelta;18
4/7/18;10;PMR ida y vuelta;18
4/7/18;11;Colegios Ida y vuelta;18
4/7/18;12;Acomp Colegios  Ida y vuelta;2
4/7/18;22;Acomp PMR  ida y vuelta;10
4/8/18;1;Adulto ida;399
4/8/18;2;Adulto Ida y vuelta;930
4/8/18;3;Infantil ida;13
4/8/18;4;Infantil ida y vuelta;74
4/8/18;5;Junior ida;50
4/8/18;6;Junior ida y vuelta;175
4/8/18;7;Senior ida;7
4/8/18;8;Senior ida y vuelta;38
4/8/18;9;PMR ida;1
4/8/18;10;PMR ida y vuelta;13
4/8/18;15;Invitacion ida y vuelta;5
4/8/18;16;Adulto viento;81
4/8/18;17;Infantil viento;6
4/8/18;18;Junior viento;10
4/8/18;19;Senior viento;2
4/8/18;21;Acomp PMR  ida;1
4/8/18;22;Acomp PMR  ida y vuelta;13
4/14/18;1;Adulto ida;367
4/14/18;2;Adulto Ida y vuelta;1481
4/14/18;3;Infantil ida;4
4/14/18;4;Infantil ida y vuelta;123
