Fecha Desde; Fecha Hasta; Código Variedad; Descripción Variedad; Origen; Descripción Origen; Kilos; Precio Más Frecuente; Precio Máximo; Precio Mínimo
20190101;20190131;CA 0101; VACUNO CANAL             ;6; BADAJOZ             ;10000;4,25;4,25;4,25
20190101;20190131;CA 0101; VACUNO CANAL             ;8; BARCELONA           ;19660;4,25;4,25;4,25
20190101;20190131;CA 0101; VACUNO CANAL             ;10; CACERES             ;1300530;4,25;4,26;4,23
20190101;20190131;CA 0101; VACUNO CANAL             ;16; CUENCA              ;22600;4,25;4,25;4,25
20190101;20190131;CA 0101; VACUNO CANAL             ;27; LUGO                ;33547;4,25;4,26;4,23
20190101;20190131;CA 0101; VACUNO CANAL             ;28; MADRID              ;669180;4,25;4,26;4,23
20190101;20190131;CA 0101; VACUNO CANAL             ;31; NAVARRA             ;22100;4,25;4,25;4,25
20190101;20190131;CA 0101; VACUNO CANAL             ;32; ORENSE              ;8500;4,25;4,25;4,25
20190101;20190131;CA 0101; VACUNO CANAL             ;36; PONTEVEDRA          ;77140;4,26;4,26;4,25
20190101;20190131;CA 0101; VACUNO CANAL             ;37; SALAMANCA           ;113436;4,25;4,26;4,23
20190101;20190131;CA 0101; VACUNO CANAL             ;40; SEGOVIA             ;2900;4,25;4,25;4,25
20190101;20190131;CA 0101; VACUNO CANAL             ;41; SEVILLA             ;2400;4,25;4,25;4,25
20190101;20190131;CA 0101; VACUNO CANAL             ;45; TOLEDO              ;822120;4,25;4,26;4,23
20190101;20190131;CA 0101; VACUNO CANAL             ;46; VALENCIA            ;13360;4,26;4,26;4,26
20190101;20190131;CA 0101; VACUNO CANAL             ;47; VALLADOLID          ;13360;4,26;4,26;4,26
20190101;20190131;CA 0101; VACUNO CANAL             ;49; ZAMORA              ;13660;4,26;4,26;4,26
20190101;20190131;CA 0101; VACUNO CANAL             ;50; ZARAGOZA            ;18440;4,25;4,25;4,25
20190101;20190131;CA 0101; VACUNO CANAL             ;54; POLONIA             ;362480;4,25;4,26;4,23
20190101;20190131;CA 0101; VACUNO CANAL             ;60; FRANCIA             ;60600;4,25;4,26;4,25
20190101;20190131;CA 0101; VACUNO CANAL             ;61; ALEMANIA            ;114960;4,25;4,26;4,23
20190101;20190131;CA 0101; VACUNO CANAL             ;62; ITALIA              ;17320;4,26;4,26;4,26
20190101;20190131;CA 0101; VACUNO CANAL             ;63; GRAN BRETAÑA        ;17240;4,25;4,25;4,25
20190101;20190131;CA 0101; VACUNO CANAL             ;64; BELGICA             ;71600;4,26;4,26;4,26
20190101;20190131;CA 0101; VACUNO CANAL             ;65; HOLANDA             ;611409;4,25;4,26;4,23
20190101;20190131;CA 0101; VACUNO CANAL             ;67; IRLANDA             ;76660;4,25;4,26;4,25
20190101;20190131;CA 0101; VACUNO CANAL             ;69; PORTUGAL            ;13300;4,25;4,25;4,25
20190101;20190131;CA 0101; VACUNO CANAL             ;70; DINAMARCA           ;14300;4,25;4,25;4,25
20190101;20190131;CA 0101; VACUNO CANAL             ;81; AUSTRIA             ;120120;4,26;4,26;4,25
20190101;20190131;CA 0207; VACUNO DESPIECE AÑOJO    ;3; ALICANTE            ;8960;9,82;9,82;9,82
20190101;20190131;CA 0207; VACUNO DESPIECE AÑOJO    ;8; BARCELONA           ;41246;9,93;10,14;9,55
20190101;20190131;CA 0207; VACUNO DESPIECE AÑOJO    ;10; CACERES             ;51144;9,79;10,14;9,55
20190101;20190131;CA 0207; VACUNO DESPIECE AÑOJO    ;17; GERONA              ;8750;9,69;9,82;9,55
20190101;20190131;CA 0207; VACUNO DESPIECE AÑOJO    ;20; GUIPUZCOA           ;7410;10,14;10,14;10,14
20190101;20190131;CA 0207; VACUNO DESPIECE AÑOJO    ;23; JAEN                ;13760;9,73;9,82;9,55
20190101;20190131;CA 0207; VACUNO DESPIECE AÑOJO    ;27; LUGO                ;18770;9,73;9,98;9,55
20190101;20190131;CA 0207; VACUNO DESPIECE AÑOJO    ;28; MADRID              ;47090;9,77;10,14;9,55
20190101;20190131;CA 0207; VACUNO DESPIECE AÑOJO    ;32; ORENSE              ;2850;9,98;9,98;9,98
20190101;20190131;CA 0207; VACUNO DESPIECE AÑOJO    ;33; ASTURIAS            ;10500;9,85;10,14;9,55
20190101;20190131;CA 0207; VACUNO DESPIECE AÑOJO    ;36; PONTEVEDRA          ;18300;9,77;9,98;9,55
20190101;20190131;CA 0207; VACUNO DESPIECE AÑOJO    ;45; TOLEDO              ;39340;9,89;10,14;9,55
20190101;20190131;CA 0207; VACUNO DESPIECE AÑOJO    ;47; VALLADOLID          ;10720;9,55;9,55;9,55
20190101;20190131;CA 0207; VACUNO DESPIECE AÑOJO    ;50; ZARAGOZA            ;4850;9,98;9,98;9,98
20190101;20190131;CA 0207; VACUNO DESPIECE AÑOJO    ;54; POLONIA             ;92600;9,76;10,14;9,55
20190101;20190131;CA 0207; VACUNO DESPIECE AÑOJO    ;60; FRANCIA             ;5880;10,14;10,14;10,14
20190101;20190131;CA 0207; VACUNO DESPIECE AÑOJO    ;61; ALEMANIA            ;43920;9,81;10,14;9,55
20190101;20190131;CA 0207; VACUNO DESPIECE AÑOJO    ;64; BELGICA             ;26662;9,94;9,98;9,82
20190101;20190131;CA 0207; VACUNO DESPIECE AÑOJO    ;65; HOLANDA             ;191110;9,81;10,14;9,55
20190101;20190131;CA 0207; VACUNO DESPIECE AÑOJO    ;70; DINAMARCA           ;42490;9,69;9,98;9,55
20190101;20190131;CA 0207; VACUNO DESPIECE AÑOJO    ;81; AUSTRIA             ;54630;9,64;9,98;9,55
20190101;20190131;CA 0208; VACUNO DESPIECE VACA     ;3; ALICANTE            ;8960;8,62;8,62;8,62
20190101;20190131;CA 0208; VACUNO DESPIECE VACA     ;8; BARCELONA           ;41246;8,75;8,94;8,3
20190101;20190131;CA 0208; VACUNO DESPIECE VACA     ;10; CACERES             ;51144;8,58;8,94;8,3
20190101;20190131;CA 0208; VACUNO DESPIECE VACA     ;17; GERONA              ;8750;8,46;8,62;8,3
20190101;20190131;CA 0208; VACUNO DESPIECE VACA     ;20; GUIPUZCOA           ;7410;8,94;8,94;8,94
20190101;20190131;CA 0208; VACUNO DESPIECE VACA     ;23; JAEN                ;13760;8,51;8,62;8,3
20190101;20190131;CA 0208; VACUNO DESPIECE VACA     ;27; LUGO                ;18770;8,51;8,83;8,3
20190101;20190131;CA 0208; VACUNO DESPIECE VACA     ;28; MADRID              ;47090;8,56;8,94;8,3
20190101;20190131;CA 0208; VACUNO DESPIECE VACA     ;32; ORENSE              ;2850;8,83;8,83;8,83
20190101;20190131;CA 0208; VACUNO DESPIECE VACA     ;33; ASTURIAS            ;10500;8,62;8,94;8,3
20190101;20190131;CA 0208; VACUNO DESPIECE VACA     ;36; PONTEVEDRA          ;18300;8,57;8,83;8,3
