CIF;Local(rótulo);Dirección;Epígrafe de actividad;Fecha de la inspección;Año;Estado higiénico sanitario;Se detectan incumplimientos relativos a la ESTRUCTURA FÍSICA;Se detectan incumplimientos relativos a la FORMACIÓN;Se detectan incumplimientos relativos a la TRAZABILIDAD;Se detectan incumplimientos relativos a las CONDICIONES DE LOS PRODUCTOS;Se detectan incumplimientos relativos a las CONDICIONES GENERALES DE HIGIENE;Se detectan incumplimientos relativos a la carencia de sistemas de AUTOCONTROL;Perfil de la actividad;Frecuencia de inspección
B88017322;Salón de Juegos;Paseo Delicias Num 47;563005 - BAR SIN COCINA;01/02/2019;2019;Desfavorable;SÍ;SÍ;NO;NO;SÍ;NO;Prioridad baja;Alta
B84822907;KFC;Calle Bravo Murillo Num 168;561002 - RESTAURANTES DE COMIDA RAPIDA;01/02/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad baja;Baja
E82289448;El Rincon Del Jamon;Calle Arturo Soria Num 168;561005 - BAR CON COCINA;01/02/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
A78304516;Gran Melia Fenix;Calle Hermosilla Num 2;551001 - HOTELES Y MOTELES CON RESTAURANTE;01/02/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad alta;Alta
B87092664;Monte Fuji;Calle Santa Juliana Num 2;561001 - RESTAURANTE;01/02/2019;2019;Desfavorable;NO;NO;NO;NO;NO;SÍ;Prioridad media;Muy Alta
B86915568;Nigiri;Plaza España Num 18;561002 - RESTAURANTES DE COMIDA RAPIDA;01/02/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
B87453635;Hevia;Calle Serrano Num 118;561006 - CAFETERIA;01/02/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Bar;Calle Topete Num 19;561004 - BAR RESTAURANTE;01/02/2019;2019;Desfavorable;SÍ;NO;SÍ;NO;SÍ;NO;Prioridad baja;Alta
B60481710;Panaria;Calle Orense Num 26;561004 - BAR RESTAURANTE;01/02/2019;2019;Favorable;NO;NO;NO;NO;SÍ;NO;Prioridad baja;Baja
B84435932;Con Laya Santander 2002;Calle Zurbano Num 13;561001 - RESTAURANTE;01/02/2019;2019;Favorable condicionado;NO;NO;NO;NO;SÍ;SÍ;Prioridad media;Media
Dato de carácter personal;Cafeteria Victor;Calle Mejico Num 34;561004 - BAR RESTAURANTE;01/03/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
B86860772;Kokoxaxa Wok Wok;Paseo Florida Num 2;561001 - RESTAURANTE;01/03/2019;2019;Desfavorable;NO;NO;SÍ;NO;SÍ;NO;Prioridad media;Muy Alta
A08703803;Salon De Juegos 22;Calle General Ricardos Num 139;561005 - BAR CON COCINA;01/03/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad baja;Baja
J80188345;"Bar ""los Calamares"" Cerveceria Pollos Asados";Calle Francisco Silvela Num 50;561005 - BAR CON COCINA;01/03/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Bar El Mancheguito;Avenida Palomeras Num 74;561005 - BAR CON COCINA;01/03/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Bar El Leon;Avenida Palomeras Num 99;561006 - CAFETERIA;01/03/2019;2019;Desfavorable;SÍ;NO;NO;NO;SÍ;NO;Prioridad media;Muy Alta
B86399672;The Handyman;Carretera Canillas Num 144;561004 - BAR RESTAURANTE;01/03/2019;2019;Desfavorable;NO;NO;NO;NO;SÍ;SÍ;Prioridad media;Muy Alta
Dato de carácter personal;Restaurante Alegria;Calle Illescas Num 98 C;561001 - RESTAURANTE;01/03/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Bar Jacky;Calle Mariano Vela Num 47;561005 - BAR CON COCINA;01/03/2019;2019;Favorable;SÍ;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Bar El Pirri;Avenida Buenos Aires Num 48;561005 - BAR CON COCINA;01/03/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Restaurante Chino El Sol;Calle Virgen Del Val Num 32;561001 - RESTAURANTE;01/03/2019;2019;Desfavorable;NO;NO;SÍ;NO;SÍ;NO;Prioridad media;Muy Alta
B87762399;Bar Restaurante Backstage;Avenida Manoteras Num 22;561004 - BAR RESTAURANTE;01/03/2019;2019;Desfavorable;SÍ;NO;SÍ;NO;SÍ;NO;Prioridad media;Muy Alta
B87145025;El Peregrino;Calle Principe Carlos Num 30;561004 - BAR RESTAURANTE;01/04/2019;2019;Favorable;NO;NO;NO;NO;SÍ;NO;Prioridad media;Media
Dato de carácter personal;Ruper King;Calle Vieja De Pinto Num 22;561005 - BAR CON COCINA;01/04/2019;2019;Desfavorable;NO;NO;SÍ;NO;SÍ;NO;Prioridad media;Muy Alta
B87485314;Orient;Calle Aracne Num 3;561004 - BAR RESTAURANTE;01/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad alta;Alta
B87446316;Papizza;Calle Aracne Num 3;561002 - RESTAURANTES DE COMIDA RAPIDA;01/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Restaurante Meson Cardeña;Plaza Angel Num 2;561004 - BAR RESTAURANTE;01/04/2019;2019;Favorable;NO;NO;NO;NO;SÍ;NO;Prioridad media;Media
Dato de carácter personal;Casa Braulio;Avenida Toreros Num 43;561005 - BAR CON COCINA;01/04/2019;2019;Favorable;SÍ;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Restaurante Oriental Capital;Calle Villardondiego Num 13;561001 - RESTAURANTE;01/04/2019;2019;Desfavorable;NO;NO;NO;NO;SÍ;NO;Prioridad alta;Muy Alta
B83669705;Hotel Ii Castillas;Calle Abada Num 7;551001 - HOTELES Y MOTELES CON RESTAURANTE;01/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad baja;Baja
B85910743;Rodilla;Paseo Florida Num 2;561002 - RESTAURANTES DE COMIDA RAPIDA;01/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad baja;Baja
Dato de carácter personal;Restaurante Asiatico Dragon;Calle Lituania Num 6;561001 - RESTAURANTE;01/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
B19620848;Mister Perrito;Paseo Florida Num 2;563005 - BAR SIN COCINA;01/04/2019;2019;Desfavorable;SÍ;NO;SÍ;NO;SÍ;SÍ;Prioridad baja;Alta
B86378320;Dod Coffee;Paseo Florida Num 2;561006 - CAFETERIA;01/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad baja;Baja
B87896593;Piropo Gastrobar;Calle Maria De Maeztu Num 122;561004 - BAR RESTAURANTE;01/04/2019;2019;Desfavorable;SÍ;SÍ;SÍ;NO;SÍ;SÍ;Prioridad media;Muy Alta
B81442188;Horno De Pan Segura;Calle Discobolo Num 77;561006 - CAFETERIA;01/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Bar-restaurante;Calle Alcalde Redondo Aceña Num 2 A;561004 - BAR RESTAURANTE;01/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
B84941954;Cafeteria Lanjaron;Calle Jerico Num 1;561005 - BAR CON COCINA;01/07/2019;2019;Favorable;NO;NO;NO;NO;SÍ;NO;Prioridad media;Media
Dato de carácter personal;Kebap Rico Y Caliente;Avenida Doctor Federico Rubio Y Gali Num 33;561001 - RESTAURANTE;01/07/2019;2019;Desfavorable;SÍ;SÍ;SÍ;NO;SÍ;NO;Prioridad baja;Alta
Dato de carácter personal;Sapama;Calle Jose Del Hierro Num 60;561005 - BAR CON COCINA;01/07/2019;2019;Desfavorable;NO;NO;NO;NO;SÍ;NO;Prioridad media;Muy Alta
Dato de carácter personal;Cafeteria Fuente De;Calle Jose Del Hierro Num 59;561005 - BAR CON COCINA;01/07/2019;2019;Desfavorable;SÍ;SÍ;NO;NO;SÍ;SÍ;Prioridad media;Muy Alta
Dato de carácter personal;Dulzor Del Templo;Avenida Ciudad De Barcelona Num 29;561006 - CAFETERIA;01/07/2019;2019;Favorable condicionado;NO;NO;NO;NO;SÍ;NO;Prioridad baja;Baja
B86868809;Restaurante Chino Guang Zhou;Calle Guareña Num 10;561004 - BAR RESTAURANTE;01/07/2019;2019;Desfavorable;SÍ;SÍ;NO;NO;SÍ;SÍ;Prioridad media;Muy Alta
Dato de carácter personal;Bar El Rincon;Calle Pico Almanzor Num 17;563005 - BAR SIN COCINA;01/07/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Restaurante Chino Oriental Radiante;Calle Guareña Num 4;561001 - RESTAURANTE;01/07/2019;2019;Desfavorable;SÍ;SÍ;NO;NO;SÍ;SÍ;Prioridad media;Muy Alta
Dato de carácter personal;Cafe Rubio Bar;Avenida Doctor Federico Rubio Y Gali Num 20;561005 - BAR CON COCINA;01/07/2019;2019;Desfavorable;NO;NO;SÍ;NO;SÍ;NO;Prioridad baja;Alta
Dato de carácter personal;Tele Arepa;Avenida Doctor Federico Rubio Y Gali Num 30;561005 - BAR CON COCINA;01/07/2019;2019;Desfavorable;SÍ;SÍ;SÍ;NO;SÍ;NO;Prioridad baja;Alta
B79223129;Giangrossi;Calle Conde De Peñalver Num 52;561006 - CAFETERIA;01/07/2019;2019;Favorable condicionado;NO;NO;NO;NO;SÍ;NO;Prioridad media;Media
Dato de carácter personal;Los Amigos;Calle Rocafort Num 123;561005 - BAR CON COCINA;02/01/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
B83636647;Venta Carmona;Calle Bohemios Num 12;561005 - BAR CON COCINA;02/01/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Los Volcanes;Calle General Ramirez De Madrid Num 14;561001 - RESTAURANTE;02/01/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Cervecería De Guzman;Calle Guzman El Bueno Num 95;563005 - BAR SIN COCINA;02/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad baja;Baja
Dato de carácter personal;Sheila;Calle Napoles Num 36;561004 - BAR RESTAURANTE;02/04/2019;2019;Desfavorable;NO;SÍ;NO;NO;SÍ;NO;Prioridad media;Muy Alta
Dato de carácter personal;Cafeteria Bar Mayra;Calle San Manuel Num 1;563005 - BAR SIN COCINA;02/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad baja;Baja
Dato de carácter personal;Bar El Castizo;Calle Hacienda De Pavones Num 225;561005 - BAR CON COCINA;02/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad baja;Baja
Dato de carácter personal;Bar Caribe;Calle Gomeznarro Num 95;563005 - BAR SIN COCINA;02/04/2019;2019;Favorable condicionado;NO;NO;NO;NO;SÍ;SÍ;Prioridad media;Media
B83854166;Conache;Calle Eraso Num 14;561005 - BAR CON COCINA;02/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Bar La Bella Union;Calle Hacienda De Pavones Num 229;561005 - BAR CON COCINA;02/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
B86069820;Makkila;Calle Jose Ortega Y Gasset Num 29;561004 - BAR RESTAURANTE;02/04/2019;2019;Favorable;NO;NO;NO;NO;SÍ;NO;Prioridad media;Media
Dato de carácter personal;Bar Castejon Ii;Calle Gregorio Donas Num 6;561005 - BAR CON COCINA;02/04/2019;2019;Desfavorable;NO;NO;NO;NO;SÍ;NO;Prioridad media;Muy Alta
Dato de carácter personal;Kios Cofee;Plaza Castilla Num 7;561006 - CAFETERIA;02/04/2019;2019;Favorable;NO;NO;SÍ;NO;NO;NO;Prioridad baja;Baja
Dato de carácter personal;Bar Restaurante Cafeteria La Estrella;Calle Hacienda De Pavones Num 225;561005 - BAR CON COCINA;02/04/2019;2019;Favorable condicionado;NO;SÍ;NO;NO;SÍ;NO;Prioridad baja;Baja
B85955185;Taberna Bulgara;Calle Manco De Lepanto Num 1;561004 - BAR RESTAURANTE;02/07/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Cerveceria Gregory;Calle Puerto De Canfranc Num 26;561005 - BAR CON COCINA;02/07/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Spice Kebab;Plaza Pinazo Num 24;561001 - RESTAURANTE;02/07/2019;2019;Favorable condicionado;NO;NO;NO;NO;SÍ;NO;Prioridad media;Media
Dato de carácter personal;Bar Los Amigos;Calle Enrique Velasco Num 10 B;563005 - BAR SIN COCINA;02/07/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Bar El Puerto. Oro Ii;Calle Ascension Bielsa Num 2;561004 - BAR RESTAURANTE;02/07/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Cafeteria Restaurante Enrique;Calle Puerto De Canfranc Num 44;561004 - BAR RESTAURANTE;02/07/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
J80691314;Cafeteria Bar Abril;Calle Cavanilles Num 52;561005 - BAR CON COCINA;02/07/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Bar Verdades Cafe;Calle Sierra De Contraviesa Num 17;561005 - BAR CON COCINA;02/07/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Bar Ribadas;Calle Escalona Num 67;561005 - BAR CON COCINA;02/07/2019;2019;Desfavorable;NO;NO;SÍ;NO;SÍ;NO;Prioridad media;Muy Alta
B84555705;Salones Lupita;Calle Monte Oliveti Num 32;561004 - BAR RESTAURANTE;02/07/2019;2019;Desfavorable;NO;NO;NO;NO;SÍ;NO;Prioridad media;Muy Alta
Dato de carácter personal;Pub Pake Mas;Calle Francisco Iglesias Num 49;563002 - BAR ESPECIAL SIN ACTUACIONES;02/07/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
B87578175;Waipahu Bar Polinesia;Calle Tintas Num 8;563002 - BAR ESPECIAL SIN ACTUACIONES;03/01/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Restaurante Los Amigos;Calle Artistas Num 33;561001 - RESTAURANTE;03/01/2019;2019;Desfavorable;NO;NO;SÍ;NO;SÍ;NO;Prioridad media;Muy Alta
D01160076;Domino's Pizza;Calle Mateo Garcia Num 1;561002 - RESTAURANTES DE COMIDA RAPIDA;03/03/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad baja;Baja
Dato de carácter personal;La Playa;Calle Pico De Los Artilleros Num 63;561006 - CAFETERIA;03/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Babilonia Cafe;Calle Diego Hurtado De Mendoza Num 16;561006 - CAFETERIA;03/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
B86191533;Manhattan;Calle Santa Leonor Num 57 D;561004 - BAR RESTAURANTE;03/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Perez Cafeteria;Calle Benimamet Num 95;561006 - CAFETERIA;03/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
B87674958;Cafeteria La Taberna De Jano;Calle Bejar Num 1;561005 - BAR CON COCINA;03/04/2019;2019;Favorable;SÍ;NO;NO;NO;NO;NO;Prioridad media;Media
E87540274;Yanten;Calle Cardenal Cisneros Num 40;561005 - BAR CON COCINA;03/04/2019;2019;Desfavorable;SÍ;SÍ;SÍ;NO;SÍ;NO;Prioridad media;Muy Alta
Dato de carácter personal;Taberna Sandra;Calle Imagen Num 16;561005 - BAR CON COCINA;03/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;El Rincon De Mar - El Pinchito;Calle Benimamet Num 99;561005 - BAR CON COCINA;03/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
B81043622;Si Tu Me Dices Ven;Calle Acanto Num 22;561005 - BAR CON COCINA;03/04/2019;2019;Desfavorable;SÍ;SÍ;SÍ;NO;SÍ;SÍ;Prioridad media;Muy Alta
Dato de carácter personal;Restaurante Christal;Calle Santa Leonor Num 20;561004 - BAR RESTAURANTE;03/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
B86341542;Faborit;Plaza Cortes Num 4;561006 - CAFETERIA;03/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Soul Kitchen;Calle Archiduque Alberto Num 9;561001 - RESTAURANTE;03/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
B84822907;KFC;Calle Maximo San Juan Num 1;561002 - RESTAURANTES DE COMIDA RAPIDA;03/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad baja;Baja
Dato de carácter personal;Nihao;Calle Principe Carlos Num 19;561004 - BAR RESTAURANTE;03/04/2019;2019;Desfavorable;NO;NO;NO;NO;SÍ;SÍ;Prioridad media;Muy Alta
Dato de carácter personal;Restaurante Chino La Casa Del Dragon;Avenida Albufera Num 56;561001 - RESTAURANTE;03/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
B86307659;La Ruta Del Cafe;Avenida Gran Via De Hortaleza Num 94;561006 - CAFETERIA;03/04/2019;2019;Desfavorable;SÍ;NO;NO;NO;SÍ;SÍ;Prioridad media;Muy Alta
A04108973;Restauración Hotel Senator Barajas;Calle Galeon Num 27;561004 - BAR RESTAURANTE;03/04/2019;2019;Favorable condicionado;NO;SÍ;SÍ;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Bar Gascueña;Calle Cañada Num 8;561005 - BAR CON COCINA;03/04/2019;2019;Favorable;NO;NO;SÍ;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Bar-restaurante Casa Manolo;Bulevar Jose Prat Num 9 B;561004 - BAR RESTAURANTE;03/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
B86842150;Bar-restaurante;Calle Diego Hurtado De Mendoza Num 8;561004 - BAR RESTAURANTE;03/04/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
Dato de carácter personal;Cerveceria 504;Callejon Alguacil Num 10;563005 - BAR SIN COCINA;03/05/2019;2019;Desfavorable;SÍ;NO;NO;NO;SÍ;NO;Prioridad media;Muy Alta
Dato de carácter personal;Bar Martin;Calle Martinez Izquierdo Num 60;561006 - CAFETERIA;03/05/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
B87865507;Casa Gato;Avenida Bruselas Num 53;561004 - BAR RESTAURANTE;03/05/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
A28775120;La Maquina;Calle Sor Angela De La Cruz Num 22;561001 - RESTAURANTE;03/05/2019;2019;Favorable condicionado;NO;NO;SÍ;NO;SÍ;NO;Prioridad media;Media
A28295525;Hotel Principe Pío;Cuesta San Vicente Num 14;551001 - HOTELES Y MOTELES CON RESTAURANTE;03/05/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad alta;Alta
Dato de carácter personal;Del Pino;Calle Molina De Segura Num 1;563005 - BAR SIN COCINA;03/05/2019;2019;Favorable;NO;NO;NO;NO;SÍ;NO;Prioridad baja;Baja
B80488232;Cafeteria Cerveceria Biarritz;Calle Biarritz Num 1;561006 - CAFETERIA;03/05/2019;2019;Favorable;NO;NO;NO;NO;NO;NO;Prioridad media;Media
B87541512;Pointer;Calle Marques De La Ensenada Num 16;561004 - BAR RESTAURANTE;03/05/2019;2019;Favorable;NO;NO;NO;NO;NO;SÍ;Prioridad media;Media
Dato de carácter personal;Garcia Bar Restaurante;Calle Jeronima Llorente Num 69;561004 - BAR RESTAURANTE;03/05/2019;2019;Desfavorable;NO;NO;SÍ;SÍ;SÍ;NO;Prioridad baja;Alta
