rank;nombre;patrimonio;sector;empresa;comunidad
1;Amancio Ortega Gaona;50.400;Textil, Inmuebles;Inditex, Pontegadea Inversiones;Galicia
2;Rafael Del Pino y familia;7.650;Construcci¢n, Contratas, Energ°a;Ferrovial;Madrid
3;Juan Roig Alfonso y familia;7.050;Distribuci¢n;Mercadona;C. Valenciana
4;Sol Daurella Comadr†n y familia;6.300;Alimentaci¢n, Bebidas;Coca Cola European Partners, Cobega;Catalu§a
5;Francisco y Jon Riberas Mera;5.900;Industria, Automoci¢n;Corporaci¢n Gestamp, Gonvarri;Madrid
6;Sandra Ortega Mera;5.300;Textil, Inmuebles;Inditex, Pharma Mar;Galicia
7;Familia March Delgado;5.000;Finanzas;Grupo March, Corp. Financiera Alba;Baleares
8;Familia Entrecanales;3.300;Construcci¢n, Contratas;Acciona;Madrid
9;V°ctor Gr°fols Roura y familia;3.300;Salud;Grifols;Catalu§a
10;Antonio y Jorge Gallardo Ballart;2.900;Salud, Hospitales;Almirall, Vithas;Catalu§a
11;Tom†s Olivo L¢pez;2.850;Inmuebles;General del Galer°as Comerciales;Murcia
12;Isak Andic Ermay;2.350;Textil, Inmuebles;Mango;Catalu§a
13;Juan Abell¢ Gallo;2.250;Multiinversor;Grupo Torreal;Madrid
14;Familia Serra FarrÇ;2.200;Finanzas, Seguros;Grupo Catalana Occidente;Catalu§a
15;Ana Bot°n-Sanz de Sautuola O'Shea y hermanos;2.150;Finanzas, Banca;Banco Santander;Cantabria
16;Fernando Masaveu Herrero y familia;2.100;Finanzas, Banca;Grupo Masaveu, Bankinter;Asturias
17;Miguel Flux† Rossell¢ y familia;1.970;Turismo;Iberostar, Camper;Baleares
18;Javier G¢mez-TrÇnor VergÇs y familia;1.960;Alimentaci¢n, Bebidas;Coca Cola European Partners;C. Valenciana
19;Carlos Javier µlvarez Navarro y Modesto µlvarez;1.960;Finanzas, Seguros;Santaluc°a;Madrid
20;Manuel Lao Hern†ndez;1.940;Juego, Inmuebles;Nortia Business Corporation;Catalu§a
21;Mariano Puig Planas y familia;1.900;Moda, CosmÇtica, Inmuebles;Puig, Corporaci¢n Exea;Catalu§a
22;Carmen y Luis Riu GÅell;1.860;Turismo;Riu Hotels, Riusa;Baleares
23;Familias Balet y AragÅÇs;1.820;Industria, Papel;Papelera Saica;Arag¢n
24;Familia Carulla Font;1.800;Alimentaci¢n;Agrolimen, GB Foods;Catalu§a
25;Demetrio Carceller Arce y familia;1.770;Industria, Transporte, Alimentaci¢n;Grupo Disa, Damm;Madrid
26;Familia Mahou;1.760;Alimentaci¢n, Bebidas;Mahou San Miguel;Madrid
27;Alicia Koplowitz Romero de Juseu;1.750;Finanzas, Metalurgia;Omega Capital, Acerinox;Madrid
28;Daniel MatÇ Badenes;1.660;Industria, Miner°a;Glencore;Pa°s Vasco
29;Jordi Rubiralta Giralt y familia;1.630;Salud;Werfen Life Group;Catalu§a
30;Jaime Bot°n-Sanz de Sautuola y Garc°a de los R°os;1.620;Finanzas;Bankinter;Cantabria
31;Manuel Jove Capell†n;1.590;Inmuebles, Turismo, Energ°a;Inveravante;Galicia
32;Guillermo Fierro Eleta;1.590;Finanzas, Industria;Grupo Fierro, Ron Cartavio;Madrid
33;Thomas Andreas Meyer;1.550;Textil;Desigual;Catalu§a
34;Helena Revoredo Delvecchio;1.510;Servicios, Seguridad;Prosegur, Gubel;Madrid
35;µngel Luengo Mart°nez;1.490;Industria, Miner°a, Alimentaci¢n;Samca, Industria;Arag¢n
36;Marta y Cristina µlvarez Guil;1.480;Distribuci¢n;El Corte InglÇs;Madrid
37;Familia Roca;1.430;Construcci¢n, Cer†mica;Corporaci¢n Roca;Catalu§a
38;Tom†s Fuertes Fern†ndez y familia;1.390;Alimentaci¢n, C†rnica;El Pozo;Murcia
39;Alberto Palatchi Ribera;1.280;Textil;Pronovias;Catalu§a
40;Florentino PÇrez Rodr°guez;1.220;Construcci¢n, Contratas;ACS;Madrid
41;Sim¢n Pedro Barcel¢ Vadell y familia;1.180;Turismo;Barcel¢ Hotels;Baleares
42;Ana Francisca y Eva Gerv†s;1.170;Alimentaci¢n, Bebidas;Mahou San Miguel;Madrid
43;Isabel Castelo D'Ortega;1.160;Finanzas, Seguros;Ocaso Seguros;Galicia
44;Familia Sendagorta;1.140;Industria;Sener;Pa°s Vasco
45;Abel Matutes Juan y familia;1.140;Turismo;Fiesta Hotels, Palladium Hotel Group;Baleares
46;Eustasio Antonio L¢pez Gonz†lez y hermanos;1.100;Turismo;Lopesan Hoteles, IFA Group;Canarias
47;Mario Losantos Ucha y familia;1.090;Inmuebles;Allegra Holding;La Rioja
48;JosÇ Llorens Torra;1.050;Construcci¢n, Miner°a;Epsa Group;Catalu§a
49;Familia Molins;1.040;Construcci¢n;Cementos Molins;Catalu§a
50;Gabriel Escarrer Juli†;1.030;Turismo;Meli† Hotels;Baleares
51;JosÇ Llad¢ Fern†ndez-Urrutia;1.020;Industria;TÇcnicas Reunidas;Madrid
52;Alberto Cortina y Alberto Alcocer;950;Construcci¢n, Industria, Banca;Alcor Corporaci¢n, ACS;Madrid
53;Rafael Dom°nguez de Gor;940;Textil, Telecomunicaciones;Mayoral, Indumenta Pueri;Andaluc°a
54;Fernando Roig Alfonso;930;Construcci¢n, Distribuci¢n, Deportes;Mercadona, Pamesa;C. Valenciana
55;Antonio Hern†ndez Callejas y familia;880;Alimentaci¢n;Ebro Foods;Andaluc°a
56;Marco Colomer Barrig¢n y familia;870;Inmuebles;Pryconsa;Madrid
57;µlvaro y Ana Sainz de Vicu§a y Bemberg y familia;870;Multiinversor;Corporaci¢n Guadalmar, Arconas Holding;Madrid
58;Jes£s N£§ez Vel†zquez y familia;870;Educaci¢n, Salud;Universidad Alfonso X El Sabio;Castilla y Le¢n
59;Ricardo Portabella Peralta;870;Inmuebles;Taiko, Alantra Partners;Catalu§a
60;Carlota Areces Gal†n y familia;870;Distribuci¢n;El Corte InglÇs;Madrid
61;JosÇ Luis D°az L¢pez y familia;860;Finanzas, Seguros;Santaluc°a;Madrid
62;Mar°a JosÇ Soriano y Silvestre Segarra;860;Construcci¢n, Cer†mica, Inmuebles;Porcelanosa, Sorman;C. Valenciana
63;JosÇ Antol°n Toledano;840;Industria, Automoci¢n;Grupo Antolin;Castilla y Le¢n
64;Familia Lara;840;Comunicaci¢n, Finanzas;Grupo Planeta;Catalu§a
65;Familia Freire;810;Industria, Metalurgia;Megasa;Galicia
66;Juan JosÇ Hidalgo Acera y familia;810;Turismo;Globalia, Air Europa;Castilla y Le¢n
67;Carmen Thyssen Bornemisza;800;Arte, Inmuebles;Arte;Catalu§a
68;Joan Esteve Soler y familia;800;Salud, Laboratorios;Laboratorios Esteve;Catalu§a
69;Julio Iglesias de la Cueva;790;Ocio;Artista;Madrid
70;Familia Vall Esquerda;790;Alimentaci¢n, C†rnica;Vall Companys;Catalu§a
71;Carmen y Liliana Godia;750;Contratas;Abertis, Fersa;Catalu§a
72;Leopoldo Fern†ndez Pujals;750;Multiinversor;ex Jazztel/Telepizza;Madrid
73;JosÇ Ignacio Comenge S†nchez-Real;740;Alimentaci¢n, Bebidas;Coca-Cola European Partners, Ebro Foods;Madrid
74;Familia Mora Figueroa Domecq;740;Alimentaci¢n, Bebidas;Coca-Cola European Partners;Andaluc°a
75;Encarna Pi§ero Garc°a y familia;730;Turismo;Soltur, Bah°a Pr°ncipe;Murcia
76;Francisco Montoro Alem†n y familia;730;Inmuebles;GMP;Murcia
77;Paloma Garc°a Pe§a y familia;720;Distribuci¢n;El Corte InglÇs;Catalu§a
78;Jordi Clos i Llombart;710;Turismo;Derby Hotels Group;Catalu§a
79;Familia Garc°a Bali§a;700;Construcci¢n;Finsa;Galicia
80;JosÇ Miguel Isidro Rinc¢n y familia;700;Industria, Papel;Europac;Castilla y Le¢n
81;Juan L¢pez-Belmonte L¢pez;660;Salud, Laboratorios;Laboratorios Rovi;Madrid
82;Familia µlvarez Ribalaygua;640;Industria, Pl†stico;Aspla;Cantabria
83;Familia Ybarra Careaga;630;Telecomunicaciones, Finanzas;MasM¢vil, Viscofan;Pa°s Vasco
