Día;Altas nuevos usuarios activos ab. anual sin ttp día;Altas nuevos usuarios activos ab. anual con ttp día;Altas nuevos usuarios activos ab. anual total día;;Usuarios activos ab. anual sin ttp acumulado desde inicio;Usuarios activos ab. anual con ttp acumulado desde inicio;Usuarios activos ab. anual total acumulado desde inicio;;;;;;;;;;;;
6/23/14;47;44;91;;47;44;91;;;;;;;;;;;;
6/24/14;21;19;40;;68;63;131;;;;;;;;;;;;
6/25/14;193;180;373;;261;243;504;;;;;;;;;;;;
6/26/14;150;113;263;;411;356;767;;;;;;;;;;;;
6/27/14;185;155;340;;596;511;1107;;;;;;;;;;;;
6/28/14;153;132;285;;749;643;1392;;;;;;;;;;;;
6/29/14;144;128;272;;893;771;1664;;;;;;;;;;;;
6/30/14;201;159;360;;1094;930;2024;;;;;;;;;;;;
7/1/14;166;164;330;;1260;1094;2354;;;;;;;;;;;;
7/2/14;137;119;256;;1397;1213;2610;;;;;;;;;;;;
7/3/14;85;73;158;;1482;1286;2768;;;;;;;;;;;;
7/4/14;163;142;305;;1645;1428;3073;;;;;;;;;;;;
7/5/14;236;155;391;;1881;1583;3464;;;;;;;;;;;;
7/6/14;215;138;353;;2096;1721;3817;;;;;;;;;;;;
7/7/14;223;156;379;;2319;1877;4196;;;;;;;;;;;;
7/8/14;184;147;331;;2503;2024;4527;;;;;;;;;;;;
7/9/14;153;113;266;;2656;2137;4793;;;;;;;;;;;;
7/10/14;117;108;225;;2773;2245;5018;;;;;;;;;;;;
7/11/14;141;119;260;;2914;2364;5278;;;;;;;;;;;;
7/12/14;173;122;295;;3087;2486;5573;;;;;;;;;;;;
7/13/14;148;125;273;;3235;2611;5846;;;;;;;;;;;;
7/14/14;117;113;230;;3352;2724;6076;;;;;;;;;;;;
7/15/14;136;90;226;;3488;2814;6302;;;;;;;;;;;;
7/16/14;92;100;192;;3580;2914;6494;;;;;;;;;;;;
7/17/14;95;90;185;;3675;3004;6679;;;;;;;;;;;;
7/18/14;103;72;175;;3778;3076;6854;;;;;;;;;;;;
7/19/14;138;118;256;;3916;3194;7110;;;;;;;;;;;;
7/20/14;142;104;246;;4058;3298;7356;;;;;;;;;;;;
7/21/14;106;72;178;;4164;3370;7534;;;;;;;;;;;;
7/22/14;77;78;155;;4241;3448;7689;;;;;;;;;;;;
7/23/14;79;83;162;;4320;3531;7851;;;;;;;;;;;;
7/24/14;104;71;175;;4424;3602;8026;;;;;;;;;;;;
7/25/14;90;65;155;;4514;3667;8181;;;;;;;;;;;;
7/26/14;93;61;154;;4607;3728;8335;;;;;;;;;;;;
7/27/14;86;57;143;;4693;3785;8478;;;;;;;;;;;;
7/28/14;64;62;126;;4757;3847;8604;;;;;;;;;;;;
7/29/14;66;63;129;;4823;3910;8733;;;;;;;;;;;;
7/30/14;75;73;148;;4898;3983;8881;;;;;;;;;;;;
7/31/14;74;62;136;;4972;4045;9017;;;;;;;;;;;;
8/1/14;56;59;115;;5028;4104;9132;;;;;;;;;;;;
8/2/14;113;102;215;;5141;4206;9347;;;;;;;;;;;;
8/3/14;121;73;194;;5262;4279;9541;;;;;;;;;;;;
8/4/14;75;64;139;;5337;4343;9680;;;;;;;;;;;;
8/5/14;90;63;153;;5427;4406;9833;;;;;;;;;;;;
8/6/14;66;47;113;;5493;4453;9946;;;;;;;;;;;;
8/7/14;61;56;117;;5554;4509;10.063;;;;;;;;;;;;
8/8/14;51;63;114;;5605;4572;10.177;;;;;;;;;;;;
8/9/14;84;85;169;;5689;4657;10.346;;;;;;;;;;;;
8/10/14;80;82;162;;5769;4739;10.508;;;;;;;;;;;;
8/11/14;56;58;114;;5825;4797;10.622;;;;;;;;;;;;
8/12/14;61;78;139;;5886;4875;10.761;;;;;;;;;;;;
8/13/14;63;61;124;;5949;4936;10.885;;;;;;;;;;;;
8/14/14;62;50;112;;6011;4986;10.997;;;;;;;;;;;;
8/15/14;67;49;116;;6078;5035;11.113;;;;;;;;;;;;
